NAZWA,CENA
spagetti bolońskie małe,6.90
spagetti bolońskie duże,8.90
spagetti pomidorowo-warzywne małe,6.00
spagetti pomidorowo-warzywne duże,8.00
spagetti serowo-szpinak małe,7.00
spagetti serowo-szpinak duże,8.90
naleśniki z serem,8.00
naleśniki z dżemem,8.00
naleśniki z musem jabłkowym,8.00
naleśniki z serem nutellą,9.50
placki ziemniaczane z cukrem i śmietaną,9.50
camembert z żurawiną,9.90
frytki z sosem małe ,6.00
frytki z sosem duże,7.50
zapiekane ziemniaki z serem i ziołami,7.90
zapiekanka ,7.50
zapiekanka z warzywami ,9.00
zapiekanka XXL,9.50
zapiekanka XXL z warzywami,11.50
zapiekanka z szynką mała,8.50
zapiekanka z szynką duża,12.00
zapiekanka z salami mała,8.50
zapiekanka z salami duża,12.00
zapiekanka z kebabem mała,9.00
zapiekanka z kebabem duża ,15.00
"kebab z frytkami, surówką, sosami",16.50
tortilla z kebabem drobiowym ,12.00
tortilla wegetariańska,9.90
kurczak po chińsku z ryżem ,12.90
warzywa po chińsku z ryżem,10.90
pyzy w sosie bolońskim z surówką,10.90
placki ziemniaczane w sosie bolońskim z surówką,11.50
jajka sadzone z ziemniakami i surówką,12.90
camembert z frytkami i surówką,16.50
filet z kurczaka z frytkami i surówką,14.90
de'vollay z frytkami i surówką,16.50
filet w sosie serowo-szpinak z frytkami i surówką,15.90
filet w panierce serowej z frytkami i surówką,16.90
filet z suszonymi pomidorami i mozarellą z frytkami i surówką,17.50
schabowy z ziemniakami i surówką,15.50
"schab soute z sosem bolońskim, pyzami i surówką",15.50
